Model,Stripe,Threshold,MCC,Coefs,Median Threshold,Median MCC
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Bsg25A__6')",3,0.7,0.23577703097723476,[[-0.43924629  6.16628474  0.53156434 -6.17859627]],0.7,0.23577703097723476
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Bsg25A__6')",5,0.7,0.1483565222610386,[[-0.15819755 -1.18703567 -5.2304893  -2.95385255]],0.7,0.1483565222610386
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Bsg25A__6')",1+2,0.8,0.4707615653663328,[[1.17078113 6.58423254 0.57099046 1.8874139 ]],0.79,0.4702173502898117
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Bsg25A__6')",4+6+7,0.7,0.15944086851952938,[[ 1.37135727 -1.01255291  0.64803869 -2.98004057]],0.7,0.15944086851952938
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Btk29A__6')",3,0.7,0.1571770522492615,[[0.3495269  6.19263428 0.27303726 0.48129049]],0.7,0.1571770522492615
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Btk29A__6')",5,0.7,0.1933891244778882,[[ 0.32664205 -0.22357385 -8.99415812  4.25884023]],0.7,0.1933891244778882
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Btk29A__6')",1+2,0.77,0.44094757244841437,[[ 0.81603626  6.78481926  1.09812172 -1.94738083]],0.79,0.4318050365103034
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'Btk29A__6')",4+6+7,0.71,0.13884302337896595,[[ 1.8038695  -0.6878172   0.22492707  0.76686575]],0.7,0.13502802053657845
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG10479__6')",3,0.7,0.1642336931431391,[[0.3417282  6.14299522 0.42002234 0.31736356]],0.7,0.1642336931431391
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG10479__6')",5,0.78,0.13988635542788858,[[ 0.47826313 -1.61132201 -4.84823178 -2.51259095]],0.7,0.12783338928908694
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG10479__6')",1+2,0.82,0.4673963713698749,[[0.4683343  6.56593427 0.22370198 1.92552771]],0.79,0.46647242607910333
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG10479__6')",4+6+7,0.7,0.2757314102303901,[[ 2.34378915 -1.95366012  1.14336228 -6.64253961]],0.7,0.2757314102303901
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG11208__6')",3,0.7,0.19352871707914177,[[-0.09003241  5.7803794   1.34182511 -5.64018413]],0.7,0.19352871707914177
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG11208__6')",5,0.7,0.15297557500419476,[[-0.28511737 -0.73709998 -4.224547   -7.16387756]],0.7,0.15297557500419476
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG11208__6')",1+2,0.85,0.47229468646836203,[[ 1.1455254   6.54393624 -0.05504941  2.78916045]],0.79,0.45986139431187806
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG11208__6')",4+6+7,0.7,0.337575258932536,[[  1.18912172  -0.86324628   2.23737128 -11.31026371]],0.7,0.337575258932536
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG13333__6')",3,0.7,0.30239952909496304,[[ 0.71548942  9.00429675 -0.18864406 -5.71833896]],0.7,0.30239952909496304
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG13333__6')",5,0.7,0.17479736478607885,[[ 0.28742861 -0.53709943 -5.44060156 -1.65039197]],0.7,0.17479736478607885
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG13333__6')",1+2,0.82,0.45595101792831166,[[0.44520166 6.24857989 0.82063919 3.54601261]],0.79,0.4510862765026583
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG13333__6')",4+6+7,0.72,0.14134483749016435,[[ 1.55731209 -1.43088693  0.53034624  2.01028525]],0.7,0.12493586059731446
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG14427__6')",3,0.7,0.16107278079685372,[[ 0.09326536  6.86192804  0.55863957 -2.78868573]],0.7,0.16107278079685372
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG14427__6')",5,0.71,0.1527494452479632,[[ 0.12981918 -1.06546005 -5.10296369 -0.61052359]],0.7,0.14945665898122298
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG14427__6')",1+2,0.76,0.48252956224936266,[[ 0.60241409  6.16253102  0.48006164 -1.294274  ]],0.79,0.47277651632458545
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG14427__6')",4+6+7,0.72,0.1692650132037192,[[ 1.65414138 -0.6744323   0.56606906 -1.86542453]],0.7,0.16263821077441937
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17724__6')",3,0.7,0.17929938755839464,[[-0.70870313  6.72525913  1.975407   -8.6310839 ]],0.7,0.17929938755839464
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17724__6')",5,0.7,0.1538870041897783,[[ 0.27486199 -1.1197005  -5.16410868  0.6831288 ]],0.7,0.1538870041897783
"('Ama__6', 'Antp__6', 'Blimp-1__6', 'CG17724__6')",1+2,0.77,0.47541170603327587,[[0.79470695 6.1086545  0.50375778 0.5813601 ]],0.79,0.4702777174216665
